YIELD,NXTOP4,N2XTOP4,OBS,N,N2,BV,BV2,NXBV,BVXT4,BV2XT4
93.14,124.6,15525.16,1,124.6,15525.16,174.53,30460.721,21746.438,174.53,30460.72
94.98,124.6,15525.16,2,124.6,15525.16,173.25,30015.563,21586.95,173.25,30015.56
94.81,124.6,15525.16,3,124.6,15525.16,175.09,30656.508,21816.214,175.09,30656.51
97.95,124.6,15525.16,4,124.6,15525.16,174.08,30303.846,21690.368,174.08,30303.85
95.74,124.6,15525.16,5,124.6,15525.16,170.89,29203.392,21292.894,170.89,29203.39
104.31,124.6,15525.16,6,124.6,15525.16,173.53,30112.661,21621.838,173.53,30112.66
100.69,124.6,15525.16,7,124.6,15525.16,175.75,30888.063,21898.45,175.75,30888.06
96.33,124.6,15525.16,8,124.6,15525.16,176.35,31099.322,21973.21,176.35,31099.32
100.44,124.6,15525.16,9,124.6,15525.16,179.49,32216.66,22364.454,179.49,32216.66
91.47,124.6,15525.16,10,124.6,15525.16,179.65,32274.123,22384.39,179.65,32274.12
87.74,124.6,15525.16,11,124.6,15525.16,178.87,31994.477,22287.202,178.87,31994.48
83.71,124.6,15525.16,12,124.6,15525.16,180.66,32638.036,22510.236,180.66,32638.04
82.7,124.6,15525.16,13,124.6,15525.16,180.27,32497.273,22461.642,180.27,32497.27
68.56,124.6,15525.16,14,124.6,15525.16,178.78,31962.288,22275.988,178.78,31962.29
60.63,124.6,15525.16,15,124.6,15525.16,180.58,32609.136,22500.268,180.58,32609.14
58.71,124.6,15525.16,16,124.6,15525.16,177.93,31659.085,22170.078,177.93,31659.08
57.63,124.6,15525.16,17,124.6,15525.16,177.62,31548.864,22131.452,177.62,31548.86
56.71,124.6,15525.16,18,124.6,15525.16,177.71,31580.844,22142.666,177.71,31580.84
57.99,124.6,15525.16,19,124.6,15525.16,176.91,31297.148,22042.986,176.91,31297.15
53.72,124.6,15525.16,20,124.6,15525.16,177.37,31460.117,22100.302,177.37,31460.12
52.06,124.6,15525.16,21,124.6,15525.16,173.85,30223.822,21661.71,173.85,30223.82
52.51,124.6,15525.16,22,124.6,15525.16,178.33,31801.589,22219.918,178.33,31801.59
62.98,124.6,15525.16,23,124.6,15525.16,181.74,33029.428,22644.804,181.74,33029.43
56.59,124.6,15525.16,24,124.6,15525.16,179.73,32302.873,22394.358,179.73,32302.87
54.31,124.6,15525.16,25,124.6,15525.16,177.37,31460.117,22100.302,177.37,31460.12
56.21,124.6,15525.16,26,124.6,15525.16,176.16,31032.346,21949.536,176.16,31032.35
